plane u v itype x0 y0 irot nvertices vx_0 vy_0 vx_1 vy_1 vx_2 vy_2 vx_3 vy_3 vx_4 vy_4 vx_5 vy_5 vx_6 vy_6 icassette_0 icassette_1 trigRate trigLinks dataRate_ld dataLinks_ld dataRate_hd dataLinks_hd MB wagon isEngine nROCs power mrot phi HDorLD hash hash_hdld dataPp0 trigPp0 dataPp0_type trigPp0_type engineType
1 4 0 FI 669.76 0.0 0 6 669.8 -96.7 753.5 -48.3 753.5 48.3 669.8 96.7 586.0 48.3 586.0 -48.3 669.8 -96.7 0 0 4.185 5.0 1.734 2.0 1.806 2.0 0 0 True 6 7.2 0 0.0 1 104000 104001 1001.0 1010.0 B A N
1 4 1 FI 586.04 145.01 0 6 586.0 48.3 669.8 96.7 669.8 193.3 586.0 241.7 502.3 193.3 502.3 96.7 586.0 48.3 0 0 4.835 5.0 1.972 3.0 2.087 3.0 1 0 False 6 7.2 0 13.898 1 104010 104011 1000.0 1010.0 A A N
1 4 2 FI 502.32 290.02 1 6 502.3 193.3 586.0 241.7 586.0 338.4 502.3 386.7 418.6 338.4 418.6 241.7 502.3 193.3 0 1 5.07 6.0 2.068 3.0 2.216 3.0 3 0 False 6 7.2 0 30.0 1 104020 104021 1100.0 1110.0 A A N
1 4 3 FI 418.6 435.02 1 6 418.6 338.4 502.3 386.7 502.3 483.4 418.6 531.7 334.9 483.4 334.9 386.7 418.6 338.4 0 1 4.799 5.0 1.975 3.0 2.096 3.0 2 0 False 6 7.2 0 46.102 1 104030 104031 1100.0 1110.0 A A N
1 4 4 FI 334.88 580.029 1 6 418.645 531.714 418.579 628.4 334.921 676.7 251.155 628.414 251.171 531.641 334.829 483.341 418.645 531.714 1 0 4.185 5.0 1.734 2.0 1.806 2.0 100 0 True 6 7.2 0 60.0 1 104040 104041 1201.0 1210.0 B A N
1 4 5 FI 251.158 725.038 1 6 334.921 676.7 334.855 773.386 251.197 821.686 167.432 773.4 167.497 676.714 251.155 628.414 334.921 676.7 1 0 3.425 4.0 1.481 2.0 1.506 2.0 101 0 True 6 7.2 0 70.894 1 104050 104051 1200.0 1210.0 A A N
1 4 6 FM 167.435 870.046 1 6 251.197 821.686 251.132 918.373 167.387 966.723 83.708 918.386 83.687 821.75 167.432 773.4 251.197 821.686 1 0 2.924 3.0 1.004 2.0 0.976 1.0 107 0 False 3 3.6 0 79.107 0 104060 104060 1200.0 1210.0 A A N
1 4 7 FO 83.722 1015.05 1 6 167.387 966.723 167.408 1063.359 83.663 1111.709 -0.016 1063.373 -0.037 966.736 83.708 918.386 167.387 966.723 1 0 2.549 3.0 0.844 1.0 0.802 1.0 110 0 False 3 3.6 0 85.285 0 104070 104070 1200.0 1211.0 A B N
1 4 8 FO -0.001 1160.059 1 6 83.663 1111.709 83.734 1208.432 -0.01 1256.782 -83.739 1208.359 -83.76 1111.723 -0.016 1063.373 83.663 1111.709 1 0 2.187 3.0 0.687 1.0 0.656 1.0 111 0 True 3 3.6 0 90.0 0 104080 104080 1200.0 1211.0 A B W
1 4 9 FO -83.718 1305.076 5 6 -0.01 1256.782 0.011 1353.418 -83.734 1401.768 -167.413 1353.432 -167.484 1256.709 -83.739 1208.359 -0.01 1256.782 1 0 1.698 2.0 0.564 1.0 0.549 1.0 111 0 False 3 3.6 0 93.67 0 104090 104090 1200.0 1211.0 A B N
